#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;;x,,,,,,,,
#;;;;;;;;;;;;;;x,,,,,,,,
###TITLE NAMES###;;;;;;;;;;;;;;x,,,,,,,,
e_aksum;Aksum;;;;;;;;;;;;;x,,,,,,,,
e_aksum_adj;Aksumite;;;;;;;;;;;;;x,,,,,,,,
e_arabia;Al-Mamlakah Al-'Arabiyah;;;;;;;;;;;;;x,,,,,,,,
e_arabia_adj;Arabian;;;;;;;;;;;;;x,,,,,,,,
e_archemakedonia;Arche Makedonia;;;;;;;;;;;;;x,,,,,,,,
e_archemakedonia_adj;Makedonian;;;;;;;;;;;;;x,,,,,,,,
e_archeseleukeia;Arche Seleukeia;;;;;;;;;;;;;x,,,,,,,,
e_archeseleukeia_adj;Seleukid;;;;;;;;;;;;;x,,,,,,,,
e_berber;The Amazigh Empire;;;;;;;;;;;;;x,,,,,,,,
e_berber_adj;Amazigh;;;;;;;;;;;;;x,,,,,,,,
e_byzantium;Imperium Romanum;;;;;;;;;;;;;x,,,,,,,,
e_byzantium_adj;Eastern Roman;;;;;;;;;;;;;x,,,,,,,,
e_carthage;The Carthaginian Empire;;;;;;;;;;;;;x,,,,,,,,
e_carthage_adj;Carthaginian;;;;;;;;;;;;;x,,,,,,,,
e_celtic;The Celtic Ímpire;;;;;;;;;;;;;x,,,,,,,,
e_celtic_adj;Celtic;;;;;;;;;;;;;x,,,,,,,,
e_egoth;Austrgothia;;;;;;;;;;;;;x,,,,,,,,
e_egoth_adj;Austrgothic;;;;;;;;;;;;;x,,,,,,,,
e_france;Imperium Francorum;;;;;;;;;;;;;x,,,,,,,,
e_france_adj;Francorian;;;;;;;;;;;;;x,,,,,,,,
e_gallia;Imperium Galliarum;;;;;;;;;;;;;x,,,,,,,,
e_gallia_adj;Gallic;;;;;;;;;;;;;x,,,,,,,,
e_german;Þiudiskaz Reik;;;;;;;;;;;;;x,,,,,,,,
e_german_adj;Þiudiskaz;;;;;;;;;;;;;x,,,,,,,,
e_greatmoravia;Velkomoravská Ríše;;;;;;;;;;;;;x,,,,,,,,
e_greatmoravia_adj;Velkomoravian;;;;;;;;;;;;;x,,,,,,,,
e_hellenic;The Hellenic Hegemony;;;;;;;;;;;;;x,,,,,,,,
e_hellenic_adj;Hellenic;;;;;;;;;;;;;x,,,,,,,,
e_hre;Holy Roman Empire;;;;;;;;;;;;;x,,,,,,,,
e_hre_adj;Imperial;;;;;;;;;;;;;x,,,,,,,,
e_huns;The Hunnic Empire;;;;;;;;;;;;;x,,,,,,,,
e_huns_adj;Hunnic;;;;;;;;;;;;;x,,,,,,,,
e_jews;Mamlekhet Yisra'el;;;;;;;;;;;;;x,,,,,,,,
e_jews_adj;Yisra'eli;;;;;;;;;;;;;x,,,,,,,,
e_kush;Kush;;;;;;;;;;;;;x,,,,,,,,
e_kush_adj;Kushite;;;;;;;;;;;;;x,,,,,,,,
e_mexikha;The Aztec Empire;;;;;;;;;;;;;x,,,,,,,,
e_mexikha_adj;Aztec;;;;;;;;;;;;;x,,,,,,,,
e_null;;;;;;;;;;;;;;x,,,,,,,,
e_null_adj;;;;;;;;;;;;;;x,,,,,,,,
e_palmyra;The Palmyrene Empire;;;;;;;;;;;;;x,,,,,,,,
e_palmyra_adj;Palmyrene;;;;;;;;;;;;;x,,,,,,,,
e_pannonia;Pannonia;;;;;;;;;;;;;x,,,,,,,,
e_pannonia_adj;Pannonian;;;;;;;;;;;;;x,,,,,,,,
e_pirates;Pirates;;;;;;;;;;;;;x,,,,,,,,
e_pirates_adj;Pirate;;;;;;;;;;;;;x,,,,,,,,
e_pontus;Pontos;;;;;;;;;;;;;x,,,,,,,,
e_pontus_adj;Pontic;;;;;;;;;;;;;x,,,,,,,,
e_ptolemaic;Ptolemaike Basileia;;;;;;;;;;;;;x,,,,,,,,
e_ptolemaic_adj;Ptolemaic;;;;;;;;;;;;;x,,,,,,,,
e_rashidun;The Rashidun Caliphate;;;;;;;;;;;;;x,,,,,,,,
e_rashidun_adj;Rashidun;;;;;;;;;;;;;x,,,,,,,,
e_rebels;Rebels;;;;;;;;;;;;;x,,,,,,,,
e_rebels_adj;Rebel;;;;;;;;;;;;;x,,,,,,,,
e_roman;S.P.Q.R;;;;;;;;;;;;;x,,,,,,,,
e_roman_adj;Western Roman;;;;;;;;;;;;;x,,,,,,,,
e_russia;The Rus';;;;;;;;;;;;;x,,,,,,,,
e_russia_adj;Russian;;;;;;;;;;;;;x,,,,,,,,
e_sassanid;Eranshahr;;;;;;;;;;;;;x,,,,,,,,
e_sassanid_adj;Aryan;;;;;;;;;;;;;x,,,,,,,,
e_scandinavia;Miklaríki;;;;;;;;;;;;;x,,,,,,,,
e_scandinavia_adj;Miklaríki;;;;;;;;;;;;;x,,,,,,,,
e_serindia;Serindia;;;;;;;;;;;;;x,,,,,,,,
e_serindia_adj;Serindian;;;;;;;;;;;;;x,,,,,,,,
e_slavinia;Slavinia;;;;;;;;;;;;;x,,,,,,,,
e_slavinia_adj;Slavinian;;;;;;;;;;;;;x,,,,,,,,
e_spain;Hispania;;;;;;;;;;;;;x,,,,,,,,
e_spain_adj;Hispanic;;;;;;;;;;;;;x,,,,,,,,
e_turk;Türkia;;;;;;;;;;;;;x,,,,,,,,
e_turk_adj;Türkic;;;;;;;;;;;;;x,,,,,,,,
e_umayyad;Tahsilat al-'Ilm;;;;;;;;;;;;;x,,,,,,,,
e_umayyad_adj;'Ilmi;;;;;;;;;;;;;x,,,,,,,,
#;;;;;;;;;;;;;;x,,,,,,,,
#Kingdom titles;;;;;;;;;;;;;;x,,,,,,,,
k_agder;Agder;;;;;;;;;;;;;x,,,,,,,,
k_agder_adj;Agderic;;;;;;;;;;;;;x,,,,,,,,
k_aksum;Æthiopia;;;;;;;;;;;;;x,,,,,,,,
k_aksum_adj;Æthiopian;;;;;;;;;;;;;x,,,,,,,,
k_al-murabitids;Al-Murabitun;;;;;;;;;;;;;x,,,,,,,,
k_al-murabitids_adj;Al-Murabitid;;;;;;;;;;;;;x,,,,,,,,
k_alania;Alania;;;;;;;;;;;;;x,,,,,,,,
k_alania_adj;Alan;;;;;;;;;;;;;x,,,,,,,,
k_albania;Albania;;;;;;;;;;;;;x,,,,,,,,
k_albania_adj;Albanian;;;;;;;;;;;;;x,,,,,,,,
k_alodia;Alodia;;;;;;;;;;;;;x,,,,,,,,
k_alodia_adj;Alodian;;;;;;;;;;;;;x,,,,,,,,
k_amman;Amman;;;;;;;;;;;;;x,,,,,,,,
k_amman_adj;Ammanite;;;;;;;;;;;;;x,,,,,,,,
k_andhra;Andara;;;;;;;;;;;;;x,,,,,,,,
k_andhra_adj;Andarae;;;;;;;;;;;;;x,,,,,,,,
k_aragon;Valentia;;;;;;;;;;;;;x,,,,,,,,
k_aragon_adj;Valentian;;;;;;;;;;;;;x,,,,,,,,
k_arles;Arles;;;;;;;;;;;;;x,,,,,,,,
k_arles_adj;Arlesian;;;;;;;;;;;;;x,,,,,,,,
k_armenia;Hayasdan;;;;;;;;;;;;;x,,,,,,,,
k_armenia_adj;Hayasdani;;;;;;;;;;;;;x,,,,,,,,
k_asturias;Asturias;;;;;;;;;;;;;x,,,,,,,,
k_asturias_adj;Asturian;;;;;;;;;;;;;x,,,,,,,,
k_atropatene;Atropatene;;;;;;;;;;;;;x,,,,,,,,
k_atropatene_adj;Atropatenean;;;;;;;;;;;;;x,,,,,,,,
k_austrasia;Austrasia;;;;;;;;;;;;;x,,,,,,,,
k_austrasia_adj;Austrasian;;;;;;;;;;;;;x,,,,,,,,
k_avars;Avaria;;;;;;;;;;;;;x,,,,,,,,
k_avars_adj;Avar;;;;;;;;;;;;;x,,,,,,,,
k_aztec;Tlatoani Altepetl;;;;;;;;;;;;;x,,,,,,,,
k_aztec_adj;Tlatoani;;;;;;;;;;;;;x,,,,,,,,
k_bactria;Bactria;;;;;;;;;;;;;x,,,,,,,,
